"Part";"Value";"Device";"Package";"Description";"MOUSER_PART_NUMBER";"SPICEPREFIX";
"C1";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C2";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C3";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C4";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C5";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C6";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C7";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C8";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C9";"470 pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C10";"470 pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C11";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C12";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C13";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C14";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C15";"47 pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C16";"470 pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C17";"470 pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C18";"47 pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C19";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C20";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C21";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C22";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C23";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C24";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C25";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C26";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C27";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C28";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C29";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C30";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C31";"10 µF";"ELECTROLYTICELCTROLYTIC_MIDSIZE_SMD";"CAPAE400X550N";"Electrolytic Capacitor SMD";"";"";
"C32";"10 µF";"ELECTROLYTICELCTROLYTIC_MIDSIZE_SMD";"CAPAE400X550N";"Electrolytic Capacitor SMD";"";"";
"C33";"10 µF";"ELECTROLYTICELCTROLYTIC_MIDSIZE_SMD";"CAPAE400X550N";"Electrolytic Capacitor SMD";"";"";
"C34";"10 µF";"ELECTROLYTICELCTROLYTIC_MIDSIZE_SMD";"CAPAE400X550N";"Electrolytic Capacitor SMD";"";"";
"C35";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C36";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C37";"22pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C38";"22pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C39";"10 µF";"ELECTROLYTICELCTROLYTIC_MIDSIZE_SMD";"CAPAE400X550N";"Electrolytic Capacitor SMD";"";"";
"C40";"10 µF";"ELECTROLYTICELCTROLYTIC_MIDSIZE_SMD";"CAPAE400X550N";"Electrolytic Capacitor SMD";"";"";
"C43";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C44";"10 µF";"ELECTROLYTICELCTROLYTIC_MIDSIZE_SMD";"CAPAE400X550N";"Electrolytic Capacitor SMD";"";"";
"C45";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C46";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C47";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C48";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C49";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C50";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C53";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C54";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C55";"22pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C56";"22pF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C57";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C58";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C60";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C61";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C62";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
"C63";"100nF";"CAPACITOR"";"C0603";"capacitor";"";"";
